issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"I understand you have lost access to your Claude team workspace. According to our documentation, seat management for Enterprise plans is handled by your organization's administrator. To restore your access, please contact your IT administrator or the workspace owner, as they are the only ones authorized to assign an Enterprise seat to your account via the Organization settings.",team_enterprise,replied,product_issue,"The documentation confirms that seat management is an administrative function within the Organization settings. As the user is not the owner or admin, they cannot restore their own access, and the documentation provides the necessary context to direct them to the correct internal party."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I understand you are concerned about your test results. Please note that HackerRank does not participate in hiring decisions, nor are we authorized to review, modify, or change test scores. All hiring decisions, including test evaluations and candidate progression, are managed directly by the company that administered the test. You will need to contact the recruiter or hiring team at the company you applied to regarding your score and application status.",general_help,escalated,product_issue,"Per Source 1, HackerRank is not authorized to modify test results or influence hiring decisions. Since the user is requesting a score change and intervention in the hiring process, this must be escalated to the hiring organization, and the request falls outside of HackerRank's support scope."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"I am sorry to hear about the issue with your purchase. To initiate a dispute for a transaction, please contact your card issuer or bank directly. You can find the appropriate contact number on the front or back of your Visa card. Your bank will require detailed information regarding the transaction to assist you with the dispute process.",dispute_resolution,escalated,product_issue,"The user is requesting a refund and merchant action, which requires human authorization and falls under dispute resolution. Per the documentation, the user must contact their issuing bank to handle charge disputes."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"I am sorry to hear that your mock interview was interrupted. Because your request involves a refund, I have escalated this ticket to our billing team for further review and authorization.",community,escalated,product_issue,"The user is reporting a technical failure during a mock interview and requesting a refund. Per the instructions, billing disputes and refund requests require human authorization and must be escalated."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"I have escalated your request regarding the payment issue (Order ID: cs_live_abcdefgh) to our billing support team, as they are the only ones authorized to review and resolve payment and refund-related inquiries.",settings,escalated,product_issue,"The user is reporting a payment issue/requesting money back. Per the instructions, billing disputes and payment failures require human authorization and must be escalated."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thank you for reaching out. I am unable to assist with filling out company-specific information security forms directly. I have escalated your request to our sales or account management team, who will be able to provide the necessary documentation or support to assist with your company's infosec review process.",general_help,escalated,product_issue,The provided documentation does not contain information regarding the completion of third-party information security forms. This requires human intervention from the account management or sales team.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"If you are looking to practice, you can access the mock interview section directly at https://www.hackerrank.com/mock-interviews. If you are experiencing issues with challenge submissions or visibility, please ensure you are using a supported browser (Chrome, Firefox, or Edge), check your internet connection, and try closing and reopening the challenge window.",community,replied,product_issue,The user mentioned they want to practice and cannot see an 'apply' tab. The documentation provides a direct link to mock interviews for practice and troubleshooting steps for challenge-related issues.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"I am sorry to hear you are experiencing issues with your submissions. As this appears to be a widespread technical issue affecting multiple challenges, I have escalated your ticket to our engineering team for further investigation.",screen,escalated,bug,"The user reports that no submissions are working across any challenges. The provided documentation covers troubleshooting for individual result delays, but does not address a platform-wide failure of the submission system, which requires engineering intervention."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"I am sorry to hear you are experiencing issues with the Zoom connectivity check. Since you have already attempted to adjust your system configurations and settings without success, I am escalating this to our technical team for further investigation.",interviews,escalated,product_issue,"The provided documentation explains how to verify system compatibility but does not offer specific troubleshooting steps for resolving a Zoom connectivity failure during the compatibility check. Therefore, this requires technical support intervention."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thank you for reaching out. To request a reschedule for your assessment, please contact the company that invited you to the test directly, as they manage the scheduling and expiry settings for your assessment. If you require further assistance from HackerRank, you may contact support@hackerrank.com.",general_help,replied,product_issue,"The provided documentation does not contain a self-service tool for candidates to reschedule assessments; it indicates that test invites and settings are managed by the company. Therefore, the candidate must contact the hiring company, or reach out to HackerRank support for further guidance."
